Region,Date,Species,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6,Plate 7,Plate 8,Plate 9,Plate 10,Avg,State,Life stage,Notes
HAL,2023-06-22,Ciona intestinalis,1,1,1,1,1,1,1,1,1,1,1,R,J,Ciona actively recruiting (recruits 1-2 wks old)
HAL,2023-06-29,Ciona intestinalis,2,0,1,1,1,1,2,1,1,0,1,R,J,Ciona still recruiting (recruits 2-3 wks old)
HAL,2023-07-06,Botrylloides violaceus,1,0,1,0,1,1,0,1,0,0,0.5,B,J,Violet recruits starting to appear (Reproductive)
HAL,2023-07-06,Ciona intestinalis,1,1,1,0,1,1,0,1,1,0,0.7,R,J,Ciona still recruiting (rectuits 2-3 wks old)
HAL,2023-07-14,Botrylloides violaceus,1,1,1,1,0,1,1,0,0,0,0.6,G,J,All NIS from above becoming more abundant.
HAL,2023-07-14,Ciona intestinalis,0,1,0,1,0,2,1,1,1,4,1.1,G,J,All NIS from above becoming more abundant.
HAL,2023-07-20,Botrylloides violaceus,0,0,0,0,0,0,0,0,0,0,0,D,,Mass dieoff - Gone!!! Likely due rainfall event.
HAL,2023-07-20,Ciona intestinalis,1,0,0,0,0,0,0,0,0,3,0.4,D,"J, A, D",Mass dieoff of Ciona. Likely due rainfall event.
HAL,2023-07-27,Ciona intestinalis,0,0,0,0,0,0,0,0,0,2,0.2,D,D,Mass dieoff & rotting of Ciona (con't)
HAL,2023-08-03,Ciona intestinalis,0,0,0,0,0,0,0,0,0,1,0.1,D,"A,J",No live Ciona …
HAL,2023-08-10,Ciona intestinalis,0,0,0,0,0,0,0,0,0,0,0,,,No live Ciona …
HAL,2023-08-17,Ciona intestinalis,0,0,0,0,0,0,0,0,0,0,0,,,No live Ciona …
HAL,2023-08-24,Ciona intestinalis,0,0,0,0,0,0,0,0,0,0,0,,,No live Ciona …
HAL,2023-09-01,Ciona intestinalis,0,0,0,0,0,0,0,0,0,0,0,,,No live Ciona …
HAL,2023-09-08,Botrylloides violaceus,0,0,0,0,0,0,0,0,0,0,0,R,,new recruits visible; very abundant
HAL,2023-09-08,Ciona intestinalis,0,1,0,0,0,0,1,0,0,1,0.3,B,J,Ciona reappeared (new settlement … reproducing)
HAL,2023-09-08,Ciona intestinalis,1,1,2,2,0,1,1,1,2,1,1.2,R,J,new recruits visible; very abundant
HAL,2023-09-15,Ciona intestinalis,0,1,0,0,1,0,1,0,0,1,0.4,B,"J, A","Ciona reappeared, healthy (new settlement omgoing … reproducing)"
HAL,2023-09-21,Ciona intestinalis,0,1,0,0,1,0,1,0,0,1,0.4,G,"J, A",New recruits hanging on & growing; still mostly juveniles (not reproductive & a few adults (mature but not obviously reproducing)
HAL,2023-09-22,Botrylloides violaceus,0,0,0,1,0,0,0,0,0,1,0.2,,"J,A",
HAL,2023-09-22,Ciona intestinalis,3,3,3,3,4,3,4,4,4,4,3.5,G,"J, A",
