GOTeDNA_ID,GOTeDNA_version,basisOfRecord,replicate,materialSampleID,eventID,recordedBy,target_gene,target_subfragment,scientificName,taxonID,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,quantificationCycle,concentrationUnit,concentration,pcr_primer_lod,thresholdQuantificationCycle,baselineValue
11,,MaterialSample,1,BOF-23-05,11-BOF-23-05-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-05-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-05,11-BOF-23-05-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-05-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-05,11-BOF-23-05-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-05-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-02,11-BOF-23-02-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-02-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-02,11-BOF-23-02-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-02-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-02,11-BOF-23-02-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-02-3-Cmae,,,copies/L,109.1236192,3.09,,
11,,MaterialSample,1,BOF-23-03,11-BOF-23-03-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-03-1-Cmae,,,copies/L,273.4747543,3.09,,
11,,MaterialSample,2,BOF-23-03,11-BOF-23-03-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-03-2-Cmae,,,copies/L,280.0887892,3.09,,
11,,MaterialSample,3,BOF-23-03,11-BOF-23-03-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-03-3-Cmae,,,copies/L,183.1880643,3.09,,
11,,MaterialSample,1,BOF-23-04,11-BOF-23-04-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-04-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-04,11-BOF-23-04-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-04-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-04,11-BOF-23-04-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-04-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-06,11-BOF-23-06-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-06-1-Cmae,,,copies/L,330.9776363,3.09,,
11,,MaterialSample,2,BOF-23-06,11-BOF-23-06-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-06-2-Cmae,,,copies/L,387.818857,3.09,,
11,,MaterialSample,3,BOF-23-06,11-BOF-23-06-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-06-3-Cmae,,,copies/L,199.7002476,3.09,,
11,,MaterialSample,1,BOF-23-07,11-BOF-23-07-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-07-1-Cmae,,,copies/L,425.056789,3.09,,
11,,MaterialSample,2,BOF-23-07,11-BOF-23-07-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-07-2-Cmae,,,copies/L,450.3727356,3.09,,
11,,MaterialSample,3,BOF-23-07,11-BOF-23-07-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-07-3-Cmae,,,copies/L,298.2966233,3.09,,
11,,MaterialSample,1,BOF-23-08,11-BOF-23-08-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-08-1-Cmae,,,copies/L,202.002161,3.09,,
11,,MaterialSample,2,BOF-23-08,11-BOF-23-08-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-08-2-Cmae,,,copies/L,175.3200346,3.09,,
11,,MaterialSample,3,BOF-23-08,11-BOF-23-08-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-08-3-Cmae,,,copies/L,266.1187248,3.09,,
