Parameter1,Parameter2,r,p
concentration,temp,0.09839533910168524,0.19325746751501763
concentration,sal,0.05674607085558725,0.7769254754151137
concentration,turb,-0.048571132687244174,0.7769254754151137
concentration,pH,-0.09282493149144785,0.23428416376201833
concentration,chl,-0.039905331934850616,0.7769254754151137
temp,sal,-0.11127253497442949,0.10728352405536346
temp,turb,-0.12255374706309195,0.054162535040711786
temp,pH,-0.20987246008681834,1.5932747826156187e-5
temp,chl,0.10867466464423119,0.171664887242333
sal,turb,-0.0767582757661638,0.4733493487513583
sal,pH,-0.06553933460638242,0.6684241316539162
sal,chl,-0.14033507990042504,0.029052090715721013
turb,pH,0.051169614923908806,0.7769254754151137
turb,chl,0.32254473912332005,1.425985407278308e-11
pH,chl,0.3239655333758787,1.1998151955503354e-11
