species,Parameter1,Parameter2,r,p
Membranipora membranacea,concentration,temp,0.38357935312981334,8.048586826377368e-4
Membranipora membranacea,concentration,sal,-0.07126937847214836,1
Membranipora membranacea,concentration,turb,0.009239066497403817,1
Membranipora membranacea,concentration,pH,-0.20840659180144588,0.37980123698442947
Membranipora membranacea,concentration,chl,0.013122381473629314,1
Membranipora membranacea,temp,sal,-0.1112725349744295,1
Membranipora membranacea,temp,turb,-0.12255374706309198,1
Membranipora membranacea,temp,pH,-0.20987246008681834,0.37980123698442947
Membranipora membranacea,temp,chl,0.10867466464423119,1
Membranipora membranacea,sal,turb,-0.07675827576616381,1
Membranipora membranacea,sal,pH,-0.06553933460638241,1
Membranipora membranacea,sal,chl,-0.14033507990042504,1
Membranipora membranacea,turb,pH,0.05116961492390879,1
Membranipora membranacea,turb,chl,0.32254473912332,0.021499751633913645
Membranipora membranacea,pH,chl,0.3239655333758787,0.021499751633913645
Botrylloides violaceus,concentration,temp,0.23122613924066063,0.22921555003464883
Botrylloides violaceus,concentration,sal,0.1549917903224178,1
Botrylloides violaceus,concentration,turb,-0.024271108561704145,1
Botrylloides violaceus,concentration,pH,-0.10972979361579929,1
Botrylloides violaceus,concentration,chl,-0.04820345912273284,1
Botrylloides violaceus,temp,sal,-0.1112725349744295,1
Botrylloides violaceus,temp,turb,-0.12255374706309198,1
Botrylloides violaceus,temp,pH,-0.20987246008681834,0.37980123698442947
Botrylloides violaceus,temp,chl,0.10867466464423119,1
Botrylloides violaceus,sal,turb,-0.07675827576616381,1
Botrylloides violaceus,sal,pH,-0.06553933460638241,1
Botrylloides violaceus,sal,chl,-0.14033507990042504,1
Botrylloides violaceus,turb,pH,0.05116961492390879,1
Botrylloides violaceus,turb,chl,0.32254473912332,0.02303544817919319
Botrylloides violaceus,pH,chl,0.3239655333758787,0.02303544817919319
Didemnum vexillum,concentration,temp,-0.589397953768369,5.589363911542349e-10
Didemnum vexillum,concentration,sal,0.2532495674050893,0.10058777644199314
Didemnum vexillum,concentration,turb,0.25072367027137554,0.10058777644199314
Didemnum vexillum,concentration,pH,-0.04560794515614412,1
Didemnum vexillum,concentration,chl,-0.34904175647099256,0.008480551272299772
Didemnum vexillum,temp,sal,-0.1112725349744295,1
Didemnum vexillum,temp,turb,-0.12255374706309198,1
Didemnum vexillum,temp,pH,-0.20987246008681834,0.2848509277383221
Didemnum vexillum,temp,chl,0.10867466464423119,1
Didemnum vexillum,sal,turb,-0.07675827576616381,1
Didemnum vexillum,sal,pH,-0.06553933460638241,1
Didemnum vexillum,sal,chl,-0.14033507990042504,1
Didemnum vexillum,turb,pH,0.05116961492390879,1
Didemnum vexillum,turb,chl,0.32254473912332,0.0199640550886341
Didemnum vexillum,pH,chl,0.3239655333758787,0.0199640550886341
Ciona intestinalis,concentration,temp,0.21747305096885508,0.33601038452013304
Ciona intestinalis,concentration,sal,0.1287796066105456,1
Ciona intestinalis,concentration,turb,-0.11304492410274539,1
Ciona intestinalis,concentration,pH,-0.2109663933428173,0.3690299396188115
Ciona intestinalis,concentration,chl,-0.09178088139374974,1
Ciona intestinalis,temp,sal,-0.1112725349744295,1
Ciona intestinalis,temp,turb,-0.12255374706309198,1
Ciona intestinalis,temp,pH,-0.20987246008681834,0.3690299396188115
Ciona intestinalis,temp,chl,0.10867466464423119,1
Ciona intestinalis,sal,turb,-0.07675827576616381,1
Ciona intestinalis,sal,pH,-0.06553933460638241,1
Ciona intestinalis,sal,chl,-0.14033507990042504,1
Ciona intestinalis,turb,pH,0.05116961492390879,1
Ciona intestinalis,turb,chl,0.32254473912332,0.02303544817919319
Ciona intestinalis,pH,chl,0.3239655333758787,0.02303544817919319
Carcinus maenas,concentration,temp,0.09959608885841774,1
Carcinus maenas,concentration,sal,0.13792559306789076,1
Carcinus maenas,concentration,turb,-0.11889850501532118,1
Carcinus maenas,concentration,pH,-0.1231492718763292,1
Carcinus maenas,concentration,chl,-0.14755550365508802,1
Carcinus maenas,temp,sal,-0.1112725349744295,1
Carcinus maenas,temp,turb,-0.12255374706309198,1
Carcinus maenas,temp,pH,-0.20987246008681834,0.4114513400664652
Carcinus maenas,temp,chl,0.10867466464423119,1
Carcinus maenas,sal,turb,-0.07675827576616381,1
Carcinus maenas,sal,pH,-0.06553933460638241,1
Carcinus maenas,sal,chl,-0.14033507990042504,1
Carcinus maenas,turb,pH,0.05116961492390879,1
Carcinus maenas,turb,chl,0.32254473912332,0.02303544817919319
Carcinus maenas,pH,chl,0.3239655333758787,0.02303544817919319
