species,region,peak_date,peak_week,peak_val,low_week,low_date,low_val
Membranipora membranacea,MAG,2024-01-16,36,11.05470581,9,2023-07-13,2.244067275
Membranipora membranacea,PEI,2023-09-28,22,13.26841234,4,2023-05-19,3.896076045
Membranipora membranacea,BOF,2023-08-30,18,9.640173725,51,2024-04-17,0.58657634
Membranipora membranacea,GOM,2023-09-05,12,9.755691968,43,2024-04-10,5.085406511
Botrylloides violaceus,MAG,2023-09-13,18,10.58195894,1,2023-05-12,5.055119735
Botrylloides violaceus,PEI,2023-10-06,24,12.76369758,4,2023-05-19,6.110128892
Botrylloides violaceus,HAL,2023-07-06,11,11.33600952,44,2024-02-22,4.845887594
Botrylloides violaceus,BOF,2023-08-02,14,9.846567889,46,2024-03-13,0.614483597
Botrylloides violaceus,GOM,2023-08-27,11,7.642987037,43,2024-04-10,5.068293961
Ciona intestinalis,MAG,2023-10-04,21,13.73724713,40,2024-02-13,9.354382867
Ciona intestinalis,PEI,2023-10-06,24,11.70095796,1,2023-04-28,8.802729491
Ciona intestinalis,HAL,2023-06-22,9,13.55022866,41,2024-02-01,8.191733862
Ciona intestinalis,BOF,2023-10-04,23,12.56498001,46,2024-03-13,9.819884552
Ciona intestinalis,GOM,2023-10-11,17,7.677095865,36,2024-02-21,5.643873048
Carcinus maenas,MAG,2023-11-28,29,0.862897192,12,2023-07-31,-0.073499926
Carcinus maenas,PEI,2024-01-04,36,6.443144482,8,2023-06-21,3.173594637
Carcinus maenas,HAL,2023-07-06,11,7.146268457,42,2024-02-08,5.094080733
Carcinus maenas,BOF,2023-06-28,9,7.938128173,1,2023-05-03,5.362055321
Carcinus maenas,GOM,2024-12-20,80,8.01402026,35,2024-02-12,6.649204067
