species,Parameter1,Parameter2,r,p
Membranipora membranacea,concentration,temp,0.09417218788790344,0.9002539953830004
Membranipora membranacea,concentration,sal,0.09703717371655554,0.9002539953830004
Membranipora membranacea,concentration,turb,NA,NA
Membranipora membranacea,concentration,pH,-0.07715207554789462,0.9002539953830004
Membranipora membranacea,concentration,chl,NA,NA
Membranipora membranacea,temp,sal,0.23791689681701592,0.06071462651300489
Membranipora membranacea,temp,turb,NA,NA
Membranipora membranacea,temp,pH,0.22385502347073852,0.06283354737917188
Membranipora membranacea,temp,chl,NA,NA
Membranipora membranacea,sal,turb,NA,NA
Membranipora membranacea,sal,pH,0.23136328431116085,0.06229400670557592
Membranipora membranacea,sal,chl,NA,NA
Membranipora membranacea,turb,pH,NA,NA
Membranipora membranacea,turb,chl,NA,NA
Membranipora membranacea,pH,chl,NA,NA
Botrylloides violaceus,concentration,temp,0.3279062244124138,0.001959166115053911
Botrylloides violaceus,concentration,sal,0.12574677308847917,0.3572422967701439
Botrylloides violaceus,concentration,turb,NA,NA
Botrylloides violaceus,concentration,pH,0.08344271439430989,0.37318287498694114
Botrylloides violaceus,concentration,chl,NA,NA
Botrylloides violaceus,temp,sal,0.23791689681701592,0.050595522094170745
Botrylloides violaceus,temp,turb,NA,NA
Botrylloides violaceus,temp,pH,0.22385502347073852,0.050595522094170745
Botrylloides violaceus,temp,chl,NA,NA
Botrylloides violaceus,sal,turb,NA,NA
Botrylloides violaceus,sal,pH,0.23136328431116085,0.050595522094170745
Botrylloides violaceus,sal,chl,NA,NA
Botrylloides violaceus,turb,pH,NA,NA
Botrylloides violaceus,turb,chl,NA,NA
Botrylloides violaceus,pH,chl,NA,NA
Didemnum vexillum,concentration,temp,NA,NA
Didemnum vexillum,concentration,sal,NA,NA
Didemnum vexillum,concentration,turb,NA,NA
Didemnum vexillum,concentration,pH,NA,NA
Didemnum vexillum,concentration,chl,NA,NA
Didemnum vexillum,temp,sal,NA,NA
Didemnum vexillum,temp,turb,NA,NA
Didemnum vexillum,temp,pH,NA,NA
Didemnum vexillum,temp,chl,NA,NA
Didemnum vexillum,sal,turb,NA,NA
Didemnum vexillum,sal,pH,NA,NA
Didemnum vexillum,sal,chl,NA,NA
Didemnum vexillum,turb,pH,NA,NA
Didemnum vexillum,turb,chl,NA,NA
Didemnum vexillum,pH,chl,NA,NA
Ciona intestinalis,concentration,temp,0.05277287034538732,1
Ciona intestinalis,concentration,sal,0.1277428705652838,0.5153098832356002
Ciona intestinalis,concentration,turb,NA,NA
Ciona intestinalis,concentration,pH,0.04784065750340854,1
Ciona intestinalis,concentration,chl,NA,NA
Ciona intestinalis,temp,sal,0.23791689681701592,0.06071462651300489
Ciona intestinalis,temp,turb,NA,NA
Ciona intestinalis,temp,pH,0.22385502347073852,0.06283354737917188
Ciona intestinalis,temp,chl,NA,NA
Ciona intestinalis,sal,turb,NA,NA
Ciona intestinalis,sal,pH,0.23136328431116085,0.06229400670557592
Ciona intestinalis,sal,chl,NA,NA
Ciona intestinalis,turb,pH,NA,NA
Ciona intestinalis,turb,chl,NA,NA
Ciona intestinalis,pH,chl,NA,NA
Carcinus maenas,concentration,temp,0.14372201089631925,0.3712867377472362
Carcinus maenas,concentration,sal,0.10967545046873198,0.4824040568287274
Carcinus maenas,concentration,turb,NA,NA
Carcinus maenas,concentration,pH,0.019472168030803254,0.8356427286818756
Carcinus maenas,concentration,chl,NA,NA
Carcinus maenas,temp,sal,0.23791689681701592,0.06071462651300489
Carcinus maenas,temp,turb,NA,NA
Carcinus maenas,temp,pH,0.22385502347073852,0.06283354737917188
Carcinus maenas,temp,chl,NA,NA
Carcinus maenas,sal,turb,NA,NA
Carcinus maenas,sal,pH,0.23136328431116085,0.06229400670557592
Carcinus maenas,sal,chl,NA,NA
Carcinus maenas,turb,pH,NA,NA
Carcinus maenas,turb,chl,NA,NA
Carcinus maenas,pH,chl,NA,NA
