species,Parameter1,Parameter2,r,p
Membranipora membranacea,concentration,temp,-0.14210021011045437,0.2963473332889069
Membranipora membranacea,concentration,sal,-0.014023122370172801,0.8870949155311185
Membranipora membranacea,concentration,turb,NA,NA
Membranipora membranacea,concentration,pH,0.22618474087591295,0.061004238778495784
Membranipora membranacea,concentration,chl,NA,NA
Membranipora membranacea,temp,sal,-0.66632091119187,4.332418343057374e-14
Membranipora membranacea,temp,turb,NA,NA
Membranipora membranacea,temp,pH,-0.7544336771841643,9.092155035908426e-20
Membranipora membranacea,temp,chl,NA,NA
Membranipora membranacea,sal,turb,NA,NA
Membranipora membranacea,sal,pH,0.4668914578748429,2.060864820216643e-6
Membranipora membranacea,sal,chl,NA,NA
Membranipora membranacea,turb,pH,NA,NA
Membranipora membranacea,turb,chl,NA,NA
Membranipora membranacea,pH,chl,NA,NA
Botrylloides violaceus,concentration,temp,0.3445563891339782,9.57381816458763e-4
Botrylloides violaceus,concentration,sal,-0.2177638734184604,0.05128847244196451
Botrylloides violaceus,concentration,turb,NA,NA
Botrylloides violaceus,concentration,pH,-0.11436723805066265,0.2453559857817052
Botrylloides violaceus,concentration,chl,NA,NA
Botrylloides violaceus,temp,sal,-0.66632091119187,4.332418343057374e-14
Botrylloides violaceus,temp,turb,NA,NA
Botrylloides violaceus,temp,pH,-0.7544336771841643,9.092155035908426e-20
Botrylloides violaceus,temp,chl,NA,NA
Botrylloides violaceus,sal,turb,NA,NA
Botrylloides violaceus,sal,pH,0.4668914578748429,2.060864820216643e-6
Botrylloides violaceus,sal,chl,NA,NA
Botrylloides violaceus,turb,pH,NA,NA
Botrylloides violaceus,turb,chl,NA,NA
Botrylloides violaceus,pH,chl,NA,NA
Didemnum vexillum,concentration,temp,NA,NA
Didemnum vexillum,concentration,sal,NA,NA
Didemnum vexillum,concentration,turb,NA,NA
Didemnum vexillum,concentration,pH,NA,NA
Didemnum vexillum,concentration,chl,NA,NA
Didemnum vexillum,temp,sal,-0.66632091119187,1.7329673372229495e-14
Didemnum vexillum,temp,turb,NA,NA
Didemnum vexillum,temp,pH,-0.7544336771841643,4.546077517954213e-20
Didemnum vexillum,temp,chl,NA,NA
Didemnum vexillum,sal,turb,NA,NA
Didemnum vexillum,sal,pH,0.4668914578748429,5.152162050541607e-7
Didemnum vexillum,sal,chl,NA,NA
Didemnum vexillum,turb,pH,NA,NA
Didemnum vexillum,turb,chl,NA,NA
Didemnum vexillum,pH,chl,NA,NA
Ciona intestinalis,concentration,temp,0.37656726037480653,2.2556217724586144e-4
Ciona intestinalis,concentration,sal,-0.08148530281928792,0.40860204720404114
Ciona intestinalis,concentration,turb,NA,NA
Ciona intestinalis,concentration,pH,-0.19327880990772117,0.09642738439963172
Ciona intestinalis,concentration,chl,NA,NA
Ciona intestinalis,temp,sal,-0.66632091119187,4.332418343057374e-14
Ciona intestinalis,temp,turb,NA,NA
Ciona intestinalis,temp,pH,-0.7544336771841643,9.092155035908426e-20
Ciona intestinalis,temp,chl,NA,NA
Ciona intestinalis,sal,turb,NA,NA
Ciona intestinalis,sal,pH,0.4668914578748429,2.060864820216643e-6
Ciona intestinalis,sal,chl,NA,NA
Ciona intestinalis,turb,pH,NA,NA
Ciona intestinalis,turb,chl,NA,NA
Ciona intestinalis,pH,chl,NA,NA
Carcinus maenas,concentration,temp,-0.2595835940613332,0.02247883222329943
Carcinus maenas,concentration,sal,0.07194848045707487,0.4657733500628325
Carcinus maenas,concentration,turb,NA,NA
Carcinus maenas,concentration,pH,0.18798449257044234,0.10962312135198489
Carcinus maenas,concentration,chl,NA,NA
Carcinus maenas,temp,sal,-0.66632091119187,4.332418343057374e-14
Carcinus maenas,temp,turb,NA,NA
Carcinus maenas,temp,pH,-0.7544336771841643,9.092155035908426e-20
Carcinus maenas,temp,chl,NA,NA
Carcinus maenas,sal,turb,NA,NA
Carcinus maenas,sal,pH,0.4668914578748429,2.060864820216643e-6
Carcinus maenas,sal,chl,NA,NA
Carcinus maenas,turb,pH,NA,NA
Carcinus maenas,turb,chl,NA,NA
Carcinus maenas,pH,chl,NA,NA
