species,Parameter1,Parameter2,r,p
Membranipora membranacea,concentration,temp,0.13529819418201935,1
Membranipora membranacea,concentration,sal,-0.009461752862528438,1
Membranipora membranacea,concentration,turb,-0.07158910506152742,1
Membranipora membranacea,concentration,pH,0.1805287402365054,1
Membranipora membranacea,concentration,chl,0.0027961743517159765,1
Membranipora membranacea,temp,sal,-0.2492008003895974,0.3892526792024019
Membranipora membranacea,temp,turb,-0.026214683784234114,1
Membranipora membranacea,temp,pH,0.1242408579073708,1
Membranipora membranacea,temp,chl,0.3215934276707085,0.09286492227786992
Membranipora membranacea,sal,turb,-0.2275114744055764,0.6347411409448226
Membranipora membranacea,sal,pH,-0.49810637311320743,1.0978276156723649e-4
Membranipora membranacea,sal,chl,0.09649533726938943,1
Membranipora membranacea,turb,pH,0.033511863324078274,1
Membranipora membranacea,turb,chl,0.01835205939721512,1
Membranipora membranacea,pH,chl,-0.10683825172298166,1
Botrylloides violaceus,concentration,temp,0.10767044198989954,1
Botrylloides violaceus,concentration,sal,-0.05754380227050501,1
Botrylloides violaceus,concentration,turb,-0.0855948675968633,1
Botrylloides violaceus,concentration,pH,0.17925380747478598,1
Botrylloides violaceus,concentration,chl,-0.044600666494634574,1
Botrylloides violaceus,temp,sal,-0.2492008003895974,0.3892526792024019
Botrylloides violaceus,temp,turb,-0.026214683784234114,1
Botrylloides violaceus,temp,pH,0.1242408579073708,1
Botrylloides violaceus,temp,chl,0.3215934276707085,0.09286492227786992
Botrylloides violaceus,sal,turb,-0.2275114744055764,0.6347411409448226
Botrylloides violaceus,sal,pH,-0.49810637311320743,1.0978276156723649e-4
Botrylloides violaceus,sal,chl,0.09649533726938943,1
Botrylloides violaceus,turb,pH,0.033511863324078274,1
Botrylloides violaceus,turb,chl,0.01835205939721512,1
Botrylloides violaceus,pH,chl,-0.10683825172298166,1
Didemnum vexillum,concentration,temp,NA,NA
Didemnum vexillum,concentration,sal,NA,NA
Didemnum vexillum,concentration,turb,NA,NA
Didemnum vexillum,concentration,pH,NA,NA
Didemnum vexillum,concentration,chl,NA,NA
Didemnum vexillum,temp,sal,NA,NA
Didemnum vexillum,temp,turb,NA,NA
Didemnum vexillum,temp,pH,NA,NA
Didemnum vexillum,temp,chl,NA,NA
Didemnum vexillum,sal,turb,NA,NA
Didemnum vexillum,sal,pH,NA,NA
Didemnum vexillum,sal,chl,NA,NA
Didemnum vexillum,turb,pH,NA,NA
Didemnum vexillum,turb,chl,NA,NA
Didemnum vexillum,pH,chl,NA,NA
Ciona intestinalis,concentration,temp,0.30375248245705283,0.09934047253235682
Ciona intestinalis,concentration,sal,-0.08931474155152666,1
Ciona intestinalis,concentration,turb,-0.09159772654828685,1
Ciona intestinalis,concentration,pH,0.12173794304566636,1
Ciona intestinalis,concentration,chl,0.04701251959119222,1
Ciona intestinalis,temp,sal,-0.2492008003895974,0.3593101654176018
Ciona intestinalis,temp,turb,-0.026214683784234114,1
Ciona intestinalis,temp,pH,0.1242408579073708,1
Ciona intestinalis,temp,chl,0.3215934276707085,0.09286492227786992
Ciona intestinalis,sal,turb,-0.2275114744055764,0.5818460458660873
Ciona intestinalis,sal,pH,-0.49810637311320743,1.0978276156723649e-4
Ciona intestinalis,sal,chl,0.09649533726938943,1
Ciona intestinalis,turb,pH,0.033511863324078274,1
Ciona intestinalis,turb,chl,0.01835205939721512,1
Ciona intestinalis,pH,chl,-0.10683825172298166,1
Carcinus maenas,concentration,temp,0.06599519626856606,1
Carcinus maenas,concentration,sal,-0.30521159599065745,0.08809103321094024
Carcinus maenas,concentration,turb,0.4386155668073326,0.0014535221299020772
Carcinus maenas,concentration,pH,0.16211487625005708,1
Carcinus maenas,concentration,chl,-0.228517958490259,0.5289509507873522
Carcinus maenas,temp,sal,-0.2492008003895974,0.32936765163280163
Carcinus maenas,temp,turb,-0.026214683784234114,1
Carcinus maenas,temp,pH,0.1242408579073708,1
Carcinus maenas,temp,chl,0.3215934276707085,0.08623171354373636
Carcinus maenas,sal,turb,-0.2275114744055764,0.5289509507873522
Carcinus maenas,sal,pH,-0.49810637311320743,1.0978276156723649e-4
Carcinus maenas,sal,chl,0.09649533726938943,1
Carcinus maenas,turb,pH,0.033511863324078274,1
Carcinus maenas,turb,chl,0.01835205939721512,1
Carcinus maenas,pH,chl,-0.10683825172298166,1
